OWNER,PLAYER,POS,DFA,YRS,ACQ,KEEP
PHILLY,Alfred Blue,RB,F,1,0,4
WILL,Anquan Boldin,WR,D,2,5,6
PHILLY,Ahmad Bradshaw,RB,F,0,1,1
ERIC,Antonio Brown,WR,D,2,17,20
BRUCE,Andre Ellington,RB,F,2,4,8
EVAN,Arian Foster,RB,D,1,86,90
WILL,Antonio Gates,TE,D,2,4,5
KT,Andrew Hawkins,WR,F,1,0,4
EVAN,Allen Hurns,WR,F,1,0,4
FRED,Alshon Jeffery,WR,D,2,4,6
NICK,Andre Johnson,WR,D,1,44,46
HANS,Andrew Luck,QB,D,2,50,58
PHILLY,Alfred Morris,RB,D,1,59,62
NICK,Adrian Peterson,RB,D,2,173,200
MAKI,Allen Robinson,WR,F,0,0,1
EVAN,Aaron Rodgers,QB,D ,1,140,147
WILL,Alex Smith,QB,F,1,1,4
EVAN,Antone Smith,RB,F,1,0,4
ERIC,Andre Williams,RB,F,1,0,4
KT,A.J. Green,WR,D,2,146,169
JUSTIN,Brandin Cooks,WR,D,1,41,43
KT,Benny Cunningham,RB,F,1,0,4
KT,Brandon Marshall,WR,D,2,151,174
FRED,Ben Roethlisberger,QB,F,1,0,4
MAKI,Bishop Sankey,RB,F,1,5,6
DEREK,Ben Tate,RB,F,1,16,20
FRED,C.J. Anderson,RB,F,1,24,30
FRED,Carlos Hyde,RB,D,1,42,44
NICK,CHRISTOPHER Ivory,RB,F,1,5,6
JUSTIN,Charles Johnson,WR,F,0,4,4
DEREK,Calvin Johnson,WR,D,2,130,150
BRUCE,Colin Kaepernick,QB,D,1,72,76
MAKI,Cody Latimer,WR,F,0,0,1
KT,Chris Matthews,WR,F,0,1,1
MAKI,CHRISTINE Michael,RB,D,2,4,5
PHILLY,Cam Newton,QB,D,1,65,68
FRED,CORDARRELLE Patterson,WR,D,2,6,8
WILL,Chris Polk,RB,D,0,1,1
EVAN,Cecil Shorts,WR,D,1,6,7
FRED,Charles Sims,RB,F,0,1,1
KT,C.J. Spiller,RB,D,1,71,75
ERIC,Chris Johnson,RB,F,0,1,1
NICK,Davante Adams,WR,F,1,2,4
NICK,Dwayne Allen,TE,F,1,2,4
EVAN,Dwayne Bowe,WR,D,1,16,17
NICK,Drew Brees,QB,D ,2,122,141
ERIC,Dez Bryant,WR,D,2,140,162
HANS,Derek Carr,QB,F,0,1,1
JUSTIN,Devonta Freeman,RB,F,0,1,1
MAKI,Deandre Hopkins,WR,D,1,11,12
HANS,Desean Jackson,WR,D,1,36,38
DEREK,Doug Martin,RB,D,1,90,95
ERIC,Darren McFadden,RB,F,0,0,1
HANS,Donte Moncrief,WR,F,0,1,1
KT,Demarco Murray,RB,D,2,39,45
ERIC,Darren Sproles,RB,F,0,1,1
NICK,Demaryius Thomas,WR,D,2,73,84
ERIC,Delanie Walker,TE,F,0,1,1
HANS,Danny Woodhead,RB,F,0,1,1
BRUCE,Eric Decker,WR,D,1,21,22
MAKI,Eric Ebron,TE,F,0,0,1
FRED,Eddie Lacy,RB,D,2,60,69
JUSTIN,Eli Manning,QB,F,0,1,1
JUSTIN,Eddie Royal,WR,F,0,1,1
DEREK,Emmanuel Sanders,WR,D,1,41,43
BRUCE,Frank Gore,RB,D,1,35,37
EVAN,Fred Jackson,RB,D,1,40,42
EVAN,Giovani Bernard,RB,D,2,26,30
WILL,Greg Jennings,WR,D,1,10,11
ERIC,Greg Olsen,TE,D,1,6,7
ERIC,Golden Tate,WR,D,2,4,5
NICK,Heath Miller,TE,F,1,0,4
JUSTIN,Isaiah Crowell,RB,F,1,11,14
MAKI,Joique Bell,RB,D,2,4,5
MAKI,John Brown,WR,F,0,0,1
MAKI,Jordan Cameron,TE,D,2,1,4
JUSTIN,Jamaal Charles,RB,D,2,155,179
KT,Julian Edelman,WR,D,1,4,5
ERIC,Justin Forsett,RB,F,1,9,11
ERIC,Josh Gordon,WR,F,1,100,125
BRUCE,Jimmy Graham,TE,D,2,91,105
KT,Jonas Gray,RB,F,1,67,84
FRED,Jonathan Grimes,RB,F,0,1,1
WILL,Jeremy Hill,RB,D,1,34,36
JUSTIN,Josh Huff,WR,F,0,1,1
FRED,Justin Hunter,WR,F,0,1,1
MAKI,Jeff Janis,WR ,F,0,0,1
WILL,Julio Jones,WR,D,2,167,193
WILL,James Jones,WR,D,1,4,5
PHILLY,Jarvis Landry,WR,F,1,1,4
NICK,Jeremy Maclin,WR,D,1,1,4
WILL,Jordan Matthews,WR,F,1,5,7
FRED,Jerick McKinnon,RB,F,1,0,4
JUSTIN,Jordy Nelson,WR,D,2,35,40
MAKI,Joseph Randle,RB,F,0,1,1
KT,Jonathan Stewart,RB,D,1,2,2
PHILLY,Julius Thomas,TE,F,2,4,8
DEREK,Jason Witten,TE,D,2,9,10
PHILLY,Kelvin Benjamin,QB,D,1,33,35
FRED,KA'DEEM Carey,RB,F,0,1,1
FRED,Knile Davis,RB,F,1,55,69
DEREK,Knoshon Moreno,RB,F,1,2,4
EVAN,Kyle Rudolph,TE,F,1,0,4
JUSTIN,Kenny Stills,WR,F,1,1,4
JUSTIN,Keenan Allen,WR,F,2,15,21
BRUCE,Le'veon Bell,RB,D ,2,31,36
WILL,LeGarrette Blount,RB,D,1,8,9
PHILLY,Larry Donnell,TE,F,1,0,4
WILL,Larry Fitzgerald,WR,F,1,8,9
MAKI,Lesean McCoy,RB,D,2,198,229
JUSTIN,Lamar Miller,RB,D,1,31,33
PHILLY,Latavius Murray,RB,F,1,3,4
EVAN,Lorenzo Taliaferro,RB,F,1,0,4
EVAN,Matt Asiata,RB,F,1,0,4
DEREK,Montee Ball,RB,D,2,18,21
KT,MARTELLUS Bennett,TE,D,1,1,2
DEREK,Martavis Bryant,WR,F,1,15,19
EVAN,Marques Colston,WR,D,1,17,18
BRUCE,Michael Crabtree,WR,F,2,1,8
PHILLY,Mike Evans,WR,F,1,0,4
BRUCE,Michael Floyd,WR,D,2,1,4
DEREK,Matt Forte,RB,D ,2,122,141
PHILLY,Mark Ingram,RB,D,1,5,6
HANS,Marshawn Lynch,RB,D,2,123,142
WILL,Matt Ryan,QB,D,2,85,98
KT,Mark Sanchez,QB,F,1,12,15
NICK,Mohamed Sanu,WR,F,1,0,4
BRUCE,Matthew Stafford,QB,D,1,35,37
DEREK,Mike Wallace,WR,D,1,1,4
MAKI,Odell Beckham,WR,F,1,1,4
EVAN,Owen Daniels,TE,F,1,0,4
HANS,Percy Harvin,WR,D,2,13,15
NICK,Peyton Manning,QB,D,2,47,54
FRED,Philip Rivers,QB,F,0,0,1
ERIC,Pierre Thomas,RB,F,0,1,1
ERIC,Reggie Bush,RB,F,0,1,1
FRED,Randall Cobb,WR,D,2,131,151
PHILLY,Robert Griffin,QB,F,1,2,4
FRED,Rob Gronkowski,TE,D,2,35,40
NICK,Ronnie Hillman,RB,F,1,10,12
NICK,Rashad Jennings,RB,D,1,4,5
NICK,Ryan Mathews,RB,D,1,36,38
BRUCE,RUEBEN RANDLE,WR,D,1,22,23
DEREK,Ryan Tannehill,QB,F,1,0,4
JUSTIN,Robert Turbin,RB,F,0,3,4
WILL,Reggie Wayne,WR,D,1,18,19
FRED,Roddy White,WR,F,0,1,1
MAKI,Russell Wilson,QB,D ,2,126,146
PHILLY,Sam Bradford,QB,F,0,1,1
NICK,Steven Jackson,RB,F,1,1,4
PHILLY,Stevan Ridley,RB,F,0,1,1
HANS,Steve Smith,WR,F,1,0,4
ERIC,Shane Vereen,RB,F,2,4,8
JUSTIN,Sammy Watkins,WR,D ,1,52,55
ERIC,Tom Brady,QB,F,1,0,4
MAKI,Teddy Bridgewater,QB,F,0,1,1
JUSTIN,Tyler Eifert,TE,F,0,1,1
PHILLY,T.Y. Hilton,WR,D,2,14,16
HANS,Travis Kelce,TE,D,1,18,19
MAKI,Tre Mason,RB,F,1,7,9
JUSTIN,Trent Richardson,RB,F,1,8,10
KT,Tony Romo,QB,D ,2,16,18
BRUCE,Torrey Smith,WR,D,1,20,21
HANS,Terrance Williams,WR,F,2,4,8
DEREK,Victor Cruz,WR,F,1,1,4
BRUCE,Vincent Jackson,WR,D,2,53,61
HANS,Zach Ertz,TE,F,0,1,1
